experiment,pitch_type,outcome,intercept,b1_mean,b1_sd,b1_hdi_lo,b1_hdi_hi,b2_mean,b2_sd,b2_hdi_lo,b2_hdi_hi,b1_significant,b2_significant,significant,pct_b2_negative,peak_age_median,peak_age_hdi_lo,peak_age_hdi_hi,decline_at_mean,sigma_u_mean,loo,n_high_pareto_k,pct_high_pareto_k,is_linear_model,n_obs,n_groups
base,CH,mean_pfx_x_norm,-1.160525693390055,-0.00025837733664929217,0.0021500719826326197,-0.004393553094612531,0.003934350616528921,0.0006324242741883884,0.00016249508318523552,0.00031726963097880286,0.0009496303057146403,False,True,True,0.0,,,,-0.00025837733664929217,0.19518908913628025,1627.5352789137305,0,0.0,False,2520,
base,CH,mean_pfx_z,0.5528161285630692,-0.005727983107162075,0.0033850457216182666,-0.012190100409251038,0.00100206934780067,0.00043086958658455134,0.00020883686780484616,3.061488681951923e-05,0.0008359821717669599,False,True,True,0.0191,,,,-0.005727983107162075,0.31390433997377115,1211.857539309733,2,0.0008,False,2520,
base,CU,mean_velo,78.7712003468739,-0.07584377760760003,0.044062541737097546,-0.16302755572643265,0.0020584853326578705,-0.016463715803002123,0.0020850018443855176,-0.020646601957331354,-0.012548687937140491,False,True,True,1.0,26.648,23.805,29.131,-0.07584377760760003,2.9553732496073946,-2990.196413255477,2,0.0012,False,1726,
base,CU,mean_spin_rate,2497.7171979600703,4.355808068691276,2.8186769277987094,-1.1881076538654882,9.626796642012945,-0.7073085602640939,0.16651854068585356,-1.0222814708741932,-0.36839887350533423,False,True,True,1.0,32.014,27.846,36.72,4.355808068691276,253.54552533983454,-10458.961213684534,6,0.0035,False,1726,
base,CU,mean_pfx_x,0.36085649296660105,-0.006069602420124806,0.005980483971491602,-0.016818182016009212,0.006272189136365645,0.0004414363229512882,0.00022532252970628623,-1.614001288109122e-06,0.0008732603894830918,False,False,False,0.0246,,,,-0.006069602420124806,0.7575248924004614,746.4837199520898,12,0.007,False,1726,
base,FC,mean_velo,88.78332688375987,-0.03902170598313837,0.028471865256230168,-0.09543881917443142,0.015536377769046147,-0.009706735701361595,0.002359371134577911,-0.014456702899018231,-0.005167356203397761,False,True,True,1.0,26.872,22.637,29.983,-0.03902170598313837,2.344073215269931,-2015.1749745541438,1,0.0008,False,1226,
base,FC,mean_spin_rate,2357.319807424209,-0.27362238404548656,2.2677544264925653,-4.912278231269605,3.9839658091387395,-0.38324227651133275,0.14476181558151352,-0.6610524021680307,-0.09635153949414764,False,True,True,0.9968,28.698,20.702,34.697,-0.27362238404548656,175.6327326961029,-7038.8159617231395,2,0.0016,False,1226,
base,FC,mean_pfx_x_norm,0.20885665847204707,-0.005737913144021092,0.00223301932546323,-0.0100948506033608,-0.001251177643237967,-0.00034166779191885827,0.00024469270004228805,-0.0008242685026680558,0.00013335707187664428,True,False,True,0.919,23.031,15.78,27.965,-0.005737913144021092,0.1715788945084161,725.0392524828138,0,0.0,False,1226,
base,FC,mean_pfx_z,0.6419237984038607,0.014444157590149833,0.0031725873706238967,0.008275513325531501,0.02057953642153964,-0.0004592985456981031,0.00028705644382282164,-0.0009928211253673205,0.00013043397407660462,True,False,True,0.9447,41.51,35.909,49.5,0.014444157590149833,0.23441664596288078,489.2167756723951,1,0.0008,False,1226,
with_ext,FF,mean_velo,93.66168140214505,-0.17075643485028935,0.017473011473849626,-0.2068485884641664,-0.13901901838440023,-0.011457014870009694,0.0010138955652698558,-0.013448764502674989,-0.009489916659274783,True,True,True,1.0,21.436,19.306,23.444,-0.17075643485028935,2.0880002720205173,-6950.74558513708,3,0.0006,False,4857,
with_ext,FF,mean_spin_rate,2275.0341990412167,1.1627362086455468,0.8782059602016967,-0.6687207163888733,2.7834778904535478,-0.5706781340405512,0.06887544682414512,-0.7029998202743754,-0.43337844589304925,False,True,True,1.0,29.935,28.452,31.56,1.1627362086455468,127.57209426901137,-27380.450721111443,0,0.0,False,4857,
with_ext,FF,mean_pfx_x,-0.28003599887453356,-0.007587080320762389,0.002907340887918119,-0.013221489723852276,-0.0017950831659453712,0.00011316276776620577,0.00014405851524966864,-0.0001679851350320578,0.0003952946724267477,True,False,True,0.2179,,,,-0.007587080320762389,0.6155225446468543,2767.555229857134,10,0.0021,False,4857,
with_ext,FF,mean_pfx_z,1.3140407548582578,0.00013414237645661273,0.0013047603562869972,-0.0023446601209461963,0.002820765040124725,-0.0002318366932690254,9.714965925535235e-05,-0.0004224194299051053,-4.097725816826457e-05,False,True,True,0.9931,29.167,21.339,36.001,0.00013414237645661273,0.18315547983086714,4536.798074498885,1,0.0002,False,4857,
with_ext,SL,mean_velo,85.02371820376621,-0.0838949213685975,0.02046939175393874,-0.12613403998544126,-0.045550734461240916,-0.012659292568019252,0.0018249127230217696,-0.01642225862673676,-0.009244116035145713,True,True,True,1.0,25.593,23.277,27.397,-0.0838949213685975,2.565052432850381,-5704.8087430557625,0,0.0,False,3196,
with_ext,SL,mean_spin_rate,2367.9508625394924,2.406910201562777,1.8187691577538838,-0.9548903001177861,6.179812553762193,-0.7148292627156243,0.12379282026601586,-0.9615044179096137,-0.48304883522963815,False,True,True,1.0,30.563,28.045,33.322,2.406910201562777,198.93989859695256,-19276.59739401683,1,0.0003,False,3196,
with_ext,SL,mean_pfx_x,0.21949941018237024,-0.0027089225381677984,0.003355353325478367,-0.00931672282938712,0.0037457668429934574,0.0003900835181053173,0.0001727565645868655,5.4137302458269354e-05,0.0007291600245751558,False,True,True,0.0127,,,,-0.0027089225381677984,0.46617586139772893,1624.110194882093,17,0.0053,False,3196,
with_ext,SL,mean_pfx_z,0.14096907268260653,0.009311593300605561,0.0023300717356339157,0.005043623729565876,0.014313391597246802,0.00020409641738716383,0.00022270150725356853,-0.00022711883900965735,0.000635885225900429,True,False,True,0.1845,,,,0.009311593300605561,0.24510601994267084,960.9109404851413,0,0.0,False,3196,
with_ext,SI,mean_velo,93.21422923449133,-0.1965498773216771,0.02330652157980569,-0.24279447305339108,-0.15234683306143962,-0.009479238864287975,0.0012903110636487104,-0.012086938580866001,-0.007023683086302039,True,True,True,1.0,18.714,15.037,21.385,-0.1965498773216771,2.367761115055812,-4113.022937689537,2,0.0007,False,2898,
with_ext,SI,mean_spin_rate,2164.049438750798,0.9888963238216308,1.06902112186398,-1.3106070123008817,2.8759701445272623,-0.4392298737850788,0.08774000208258742,-0.6044164697246242,-0.2608763803484466,False,True,True,1.0,30.061,27.421,32.415,0.9888963238216308,137.92953234382892,-16264.22952743166,2,0.0007,False,2898,
with_ext,SI,mean_pfx_x,-0.5629014485940753,-0.006279541510917499,0.004511171391652362,-0.015184815007148286,0.0027226896215318728,-0.0001336647279914609,0.00012478553873666667,-0.0003770215919884909,0.00010979813613638554,False,False,False,0.86,22.188,15.011,37.811,-0.006279541510917499,1.1048160451495528,2606.4079876874143,20,0.0069,False,2898,
with_ext,SI,mean_pfx_z,0.7555251336193596,0.001013531727815381,0.003272643661002783,-0.005326453765440595,0.007756941500436917,-0.0006222455598068589,0.0001686029307183056,-0.0009487576571834916,-0.0002895079434566448,False,True,True,0.9999,29.666,23.368,35.323,0.001013531727815381,0.3471848468826474,1797.4873150727399,2,0.0007,False,2898,
with_ext,CH,mean_velo,85.24569050370835,-0.054978441333504394,0.04194553173657181,-0.12820124244463843,0.014772518837834453,-0.017670223440036395,0.0016858365730961992,-0.021060639718722008,-0.01445161036321657,False,True,True,1.0,27.414,25.131,29.29,-0.054978441333504394,2.957888109696445,-4184.905677535296,5,0.002,False,2520,
with_ext,CH,mean_spin_rate,1785.4969431170725,-2.7854441513378823,1.5073286815117315,-5.73586987518127,0.15363619474228052,-0.5239131751727882,0.1315923946634911,-0.7657716392884513,-0.2439922068818718,False,True,True,0.9998,26.277,21.998,29.268,-2.7854441513378823,237.13998613333217,-15160.617668133644,3,0.0012,False,2520,
with_ext,CH,mean_pfx_x_norm,-1.1597830267546743,0.00022488571322278682,0.0022616854494929154,-0.004044203578053657,0.004705759785976013,0.0006395694250447755,0.00016480574007998503,0.00030302094300039043,0.0009518203882032441,False,True,True,0.0001,,,,0.00022488571322278682,0.19534723823891748,1630.1867724724234,3,0.0012,False,2520,
with_ext,CH,mean_pfx_z,0.550323102830853,-0.005490617645736686,0.0034009840398451035,-0.012122478878064455,0.0012510745993012955,0.00043986818209360424,0.00020766778630004,4.5862466876067614e-05,0.0008489363837284343,False,True,True,0.0168,,,,-0.005490617645736686,0.3137469957926895,1212.1523715590922,2,0.0008,False,2520,
with_ext,CU,mean_velo,78.75978100873087,-0.07515454394258202,0.035813866976772,-0.15012996350136992,-0.01257436401915815,-0.016667737918106572,0.002059277173574608,-0.020729547004166095,-0.012670427202363803,True,True,True,1.0,26.698,24.2,28.598,-0.07515454394258202,2.9668032693403665,-2989.2922649482894,2,0.0012,False,1726,
with_ext,CU,mean_spin_rate,2498.788959998036,4.283107732789135,3.0294980138024754,-1.5474352481410634,10.220916454521092,-0.7003074366452047,0.1668410394438914,-1.0187211537210075,-0.367167816662286,False,True,True,0.9999,31.966,27.346,36.879,4.283107732789135,249.3106073951494,-10458.86723379388,6,0.0035,False,1726,
with_ext,CU,mean_pfx_x,0.3658569828868388,-0.00824988569811591,0.0061481449994260865,-0.020152077696475413,0.0035440296031951013,0.0004194651506619502,0.0002268926350480656,-2.1521497841458507e-05,0.0008553992526789734,False,False,False,0.0312,,,,-0.00824988569811591,0.7570719314131168,746.937853724213,12,0.007,False,1726,
with_ext,CU,mean_pfx_x_norm,0.7755587125631865,0.006109495307673864,0.003604611540558054,-0.001053826937251698,0.013186148137563984,7.569888600751817e-05,0.00024127287267365524,-0.00040864049255367996,0.0005470839410803656,False,False,False,0.3708,,,,0.006109495307673864,0.3022164507946847,680.865122672627,3,0.0017,False,1726,
with_ext,FC,mean_velo,88.81056880617267,-0.05223956473266002,0.02659331179194175,-0.10532065038167217,-0.0010919352050311167,-0.009482127248957965,0.002349956635085739,-0.014260968783371415,-0.005030271236338083,True,True,True,1.0,26.146,21.629,29.233,-0.05223956473266002,2.345682121767558,-2006.8634979761573,0,0.0,False,1226,
with_ext,FC,mean_spin_rate,2356.483375933381,-0.04424392230842223,2.402242105303147,-4.713616033400455,4.5821218709719425,-0.39444112839522166,0.14357925392549722,-0.6682788503751229,-0.1125434405281638,False,True,True,0.9965,28.96,21.254,35.745,-0.04424392230842223,174.33655403117768,-7038.13638541623,0,0.0,False,1226,
with_ext,FC,mean_pfx_x_norm,0.2095960504888464,-0.006326017910657102,0.0023379374156068254,-0.010855784491238986,-0.0018375186928412098,-0.0003256044565499026,0.00024302981876461613,-0.0008004882574197256,0.00015026094893319503,True,False,True,0.906,22.53,15.435,27.577,-0.006326017910657102,0.1708141915703668,726.2840567596645,0,0.0,False,1226,
with_ext,FC,mean_pfx_z,0.6426007265271579,0.014082145854366021,0.0031672937263184982,0.00811730190321031,0.02051764916492901,-0.0004477954106272706,0.00028726297184625586,-0.000993976085114854,0.00013423167887371704,True,False,True,0.9414,41.484,35.736,49.552,0.014082145854366021,0.2343046106914329,491.0268580790222,0,0.0,False,1226,
